Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",685306,685308,715597
310M200US44940,44940,"Sumter, SC Metro Area",107456,107463,107919
310M200US45060,45060,"Syracuse, NY Metro Area",662577,662578,661478
310M200US45220,45220,"Tallahassee, FL Metro Area",367413,368770,375751
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2783243,2783514,2915582
310M200US45460,45460,"Terre Haute, IN Metro Area",172425,172422,171480
310M200US45500,45500,"Texarkana, TX-AR Metro Area",149198,149195,149235
310M200US45540,45540,"The Villages, FL Metro Area",93420,93420,114350
310M200US45780,45780,"Toledo, OH Metro Area",610001,610001,607456
310M200US45820,45820,"Topeka, KS Metro Area",233870,233868,233758
310M200US45940,45940,"Trenton, NJ Metro Area",366513,367508,371537
310M200US46060,46060,"Tucson, AZ Metro Area",980263,980263,1004516
310M200US46140,46140,"Tulsa, OK Metro Area",937478,937528,969224
310M200US46220,46220,"Tuscaloosa, AL Metro Area",230162,230159,237761
310M200US46340,46340,"Tyler, TX Metro Area",209714,209714,218842
310M200US46520,46520,"Urban Honolulu, HI Metro Area",953207,953207,991788
310M200US46540,46540,"Utica-Rome, NY Metro Area",299397,299382,296615
